"","table.ID","line","shortname","longname","table.title","universe","subject","longname2","longname.unique"
"B15002.019","B15002",19,"B15002.019","Female:","SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER","Universe:  Population 25 Years And Over","Educational Attainment","Female","Female:|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER"
"B15002.019.m","B15002",19,"B15002.019.m","MOE for Female:","SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER","Universe:  Population 25 Years And Over","Educational Attainment","MOE for Female","MOE for Female:|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER"
"B15002.020","B15002",20,"B15002.020","No schooling completed","SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER","Universe:  Population 25 Years And Over","Educational Attainment","Noschoolingcompleted","No schooling completed|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER"
"B15002.020.m","B15002",20,"B15002.020.m","MOE for No schooling completed","SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER","Universe:  Population 25 Years And Over","Educational Attainment","MOE for Noschoolingcompleted","MOE for No schooling completed|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER"
"B15002.021","B15002",21,"B15002.021","Nursery to 4th grade","SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER","Universe:  Population 25 Years And Over","Educational Attainment","Nurseryto4thgrade","Nursery to 4th grade|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER"
"B15002.021.m","B15002",21,"B15002.021.m","MOE for Nursery to 4th grade","SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER","Universe:  Population 25 Years And Over","Educational Attainment","MOE for Nurseryto4thgrade","MOE for Nursery to 4th grade|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER"
"B15002.022","B15002",22,"B15002.022","5th and 6th grade","SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER","Universe:  Population 25 Years And Over","Educational Attainment","5thand6thgrade","5th and 6th grade|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER"
"B15002.022.m","B15002",22,"B15002.022.m","MOE for 5th and 6th grade","SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER","Universe:  Population 25 Years And Over","Educational Attainment","MOE for 5thand6thgrade","MOE for 5th and 6th grade|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER"
"B15002.023","B15002",23,"B15002.023","7th and 8th grade","SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER","Universe:  Population 25 Years And Over","Educational Attainment","7thand8thgrade","7th and 8th grade|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER"
"B15002.023.m","B15002",23,"B15002.023.m","MOE for 7th and 8th grade","SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER","Universe:  Population 25 Years And Over","Educational Attainment","MOE for 7thand8thgrade","MOE for 7th and 8th grade|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER"
"B15002.024","B15002",24,"B15002.024","9th grade","SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER","Universe:  Population 25 Years And Over","Educational Attainment","9thgrade","9th grade|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER"
"B15002.024.m","B15002",24,"B15002.024.m","MOE for 9th grade","SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER","Universe:  Population 25 Years And Over","Educational Attainment","MOE for 9thgrade","MOE for 9th grade|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER"
"B15002.025","B15002",25,"B15002.025","10th grade","SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER","Universe:  Population 25 Years And Over","Educational Attainment","10thgrade","10th grade|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER"
"B15002.025.m","B15002",25,"B15002.025.m","MOE for 10th grade","SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER","Universe:  Population 25 Years And Over","Educational Attainment","MOE for 10thgrade","MOE for 10th grade|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER"
"B15002.026","B15002",26,"B15002.026","11th grade","SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER","Universe:  Population 25 Years And Over","Educational Attainment","11thgrade","11th grade|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER"
"B15002.026.m","B15002",26,"B15002.026.m","MOE for 11th grade","SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER","Universe:  Population 25 Years And Over","Educational Attainment","MOE for 11thgrade","MOE for 11th grade|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER"
"B15002.027","B15002",27,"B15002.027","12th grade, no diploma","SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER","Universe:  Population 25 Years And Over","Educational Attainment","12thgradenodiploma","12th grade, no diploma|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER"
"B15002.027.m","B15002",27,"B15002.027.m","MOE for 12th grade, no diploma","SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER","Universe:  Population 25 Years And Over","Educational Attainment","MOE for 12thgradenodiploma","MOE for 12th grade, no diploma|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER"
"B15002.028","B15002",28,"B15002.028","High school graduate (includes equivalency)","SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER","Universe:  Population 25 Years And Over","Educational Attainment","Highschoolgraduateincludesequivalency","High school graduate (includes equivalency)|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER"
"B15002.028.m","B15002",28,"B15002.028.m","MOE for High school graduate (includes equivalency)","SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER","Universe:  Population 25 Years And Over","Educational Attainment","MOE for Highschoolgraduateincludesequivalency","MOE for High school graduate (includes equivalency)|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER"
"B15002.029","B15002",29,"B15002.029","Some college, less than 1 year","SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER","Universe:  Population 25 Years And Over","Educational Attainment","Somecollegelessthan1year","Some college, less than 1 year|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER"
"B15002.029.m","B15002",29,"B15002.029.m","MOE for Some college, less than 1 year","SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER","Universe:  Population 25 Years And Over","Educational Attainment","MOE for Somecollegelessthan1year","MOE for Some college, less than 1 year|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER"
"B15002.030","B15002",30,"B15002.030","Some college, 1 or more years, no degree","SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER","Universe:  Population 25 Years And Over","Educational Attainment","Somecollege1ormoreyearsnodegree","Some college, 1 or more years, no degree|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER"
"B15002.030.m","B15002",30,"B15002.030.m","MOE for Some college, 1 or more years, no degree","SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER","Universe:  Population 25 Years And Over","Educational Attainment","MOE for Somecollege1ormoreyearsnodegree","MOE for Some college, 1 or more years, no degree|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER"
"B15002.031","B15002",31,"B15002.031","Associate's degree","SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER","Universe:  Population 25 Years And Over","Educational Attainment","Associatesdegree","Associate's degree|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER"
"B15002.031.m","B15002",31,"B15002.031.m","MOE for Associate's degree","SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER","Universe:  Population 25 Years And Over","Educational Attainment","MOE for Associatesdegree","MOE for Associate's degree|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER"
"B15002.032","B15002",32,"B15002.032","Bachelor's degree","SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER","Universe:  Population 25 Years And Over","Educational Attainment","Bachelorsdegree","Bachelor's degree|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER"
"B15002.032.m","B15002",32,"B15002.032.m","MOE for Bachelor's degree","SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER","Universe:  Population 25 Years And Over","Educational Attainment","MOE for Bachelorsdegree","MOE for Bachelor's degree|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER"
"B15002.033","B15002",33,"B15002.033","Master's degree","SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER","Universe:  Population 25 Years And Over","Educational Attainment","Mastersdegree","Master's degree|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER"
"B15002.033.m","B15002",33,"B15002.033.m","MOE for Master's degree","SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER","Universe:  Population 25 Years And Over","Educational Attainment","MOE for Mastersdegree","MOE for Master's degree|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER"
"B15002.034","B15002",34,"B15002.034","Professional school degree","SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER","Universe:  Population 25 Years And Over","Educational Attainment","Professionalschooldegree","Professional school degree|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER"
"B15002.034.m","B15002",34,"B15002.034.m","MOE for Professional school degree","SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER","Universe:  Population 25 Years And Over","Educational Attainment","MOE for Professionalschooldegree","MOE for Professional school degree|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER"
"B15002.035","B15002",35,"B15002.035","Doctorate degree","SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER","Universe:  Population 25 Years And Over","Educational Attainment","Doctoratedegree","Doctorate degree|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER"
"B15002.035.m","B15002",35,"B15002.035.m","MOE for Doctorate degree","SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER","Universe:  Population 25 Years And Over","Educational Attainment","MOE for Doctoratedegree","MOE for Doctorate degree|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER"
"C17002.001","C17002",1,"C17002.001","Total:","RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS","Universe:  Population For Whom Poverty Status Is Determined","Poverty","Total","Total:|RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS"
"C17002.001.m","C17002",1,"C17002.001.m","MOE for Total:","RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS","Universe:  Population For Whom Poverty Status Is Determined","Poverty","MOE for Total","MOE for Total:|RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS"
"C17002.002","C17002",2,"C17002.002","Under .50","RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS","Universe:  Population For Whom Poverty Status Is Determined","Poverty","Under.50","Under .50|RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS"
"C17002.002.m","C17002",2,"C17002.002.m","MOE for Under .50","RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS","Universe:  Population For Whom Poverty Status Is Determined","Poverty","MOE for Under.50","MOE for Under .50|RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS"
"C17002.003","C17002",3,"C17002.003",".50 to .99","RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS","Universe:  Population For Whom Poverty Status Is Determined","Poverty",".50to.99",".50 to .99|RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS"
"C17002.003.m","C17002",3,"C17002.003.m","MOE for .50 to .99","RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS","Universe:  Population For Whom Poverty Status Is Determined","Poverty","MOE for .50to.99","MOE for .50 to .99|RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS"
"C17002.004","C17002",4,"C17002.004","1.00 to 1.24","RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS","Universe:  Population For Whom Poverty Status Is Determined","Poverty","1.00to1.24","1.00 to 1.24|RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS"
"C17002.004.m","C17002",4,"C17002.004.m","MOE for 1.00 to 1.24","RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS","Universe:  Population For Whom Poverty Status Is Determined","Poverty","MOE for 1.00to1.24","MOE for 1.00 to 1.24|RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS"
"C17002.005","C17002",5,"C17002.005","1.25 to 1.49","RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS","Universe:  Population For Whom Poverty Status Is Determined","Poverty","1.25to1.49","1.25 to 1.49|RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS"
"C17002.005.m","C17002",5,"C17002.005.m","MOE for 1.25 to 1.49","RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS","Universe:  Population For Whom Poverty Status Is Determined","Poverty","MOE for 1.25to1.49","MOE for 1.25 to 1.49|RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS"
"C17002.006","C17002",6,"C17002.006","1.50 to 1.84","RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS","Universe:  Population For Whom Poverty Status Is Determined","Poverty","1.50to1.84","1.50 to 1.84|RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS"
"C17002.006.m","C17002",6,"C17002.006.m","MOE for 1.50 to 1.84","RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS","Universe:  Population For Whom Poverty Status Is Determined","Poverty","MOE for 1.50to1.84","MOE for 1.50 to 1.84|RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS"
"C17002.007","C17002",7,"C17002.007","1.85 to 1.99","RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS","Universe:  Population For Whom Poverty Status Is Determined","Poverty","1.85to1.99","1.85 to 1.99|RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS"
"C17002.007.m","C17002",7,"C17002.007.m","MOE for 1.85 to 1.99","RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS","Universe:  Population For Whom Poverty Status Is Determined","Poverty","MOE for 1.85to1.99","MOE for 1.85 to 1.99|RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS"
"C17002.008","C17002",8,"C17002.008","2.00 and over","RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS","Universe:  Population For Whom Poverty Status Is Determined","Poverty","2.00andover","2.00 and over|RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS"
"C17002.008.m","C17002",8,"C17002.008.m","MOE for 2.00 and over","RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS","Universe:  Population For Whom Poverty Status Is Determined","Poverty","MOE for 2.00andover","MOE for 2.00 and over|RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS"
"B25034.001","B25034",1,"B25034.001","Total:","YEAR STRUCTURE BUILT","Universe:  Housing Units","Housing","Total","Total:|YEAR STRUCTURE BUILT"
"B25034.001.m","B25034",1,"B25034.001.m","MOE for Total:","YEAR STRUCTURE BUILT","Universe:  Housing Units","Housing","MOE for Total","MOE for Total:|YEAR STRUCTURE BUILT"
"B25034.002","B25034",2,"B25034.002","Built 2014 or later","YEAR STRUCTURE BUILT","Universe:  Housing Units","Housing","Built2014orlater","Built 2014 or later|YEAR STRUCTURE BUILT"
"B25034.002.m","B25034",2,"B25034.002.m","MOE for Built 2014 or later","YEAR STRUCTURE BUILT","Universe:  Housing Units","Housing","MOE for Built2014orlater","MOE for Built 2014 or later|YEAR STRUCTURE BUILT"
"B25034.003","B25034",3,"B25034.003","Built 2010 to 2013","YEAR STRUCTURE BUILT","Universe:  Housing Units","Housing","Built2010to2013","Built 2010 to 2013|YEAR STRUCTURE BUILT"
"B25034.003.m","B25034",3,"B25034.003.m","MOE for Built 2010 to 2013","YEAR STRUCTURE BUILT","Universe:  Housing Units","Housing","MOE for Built2010to2013","MOE for Built 2010 to 2013|YEAR STRUCTURE BUILT"
"B25034.004","B25034",4,"B25034.004","Built 2000 to 2009","YEAR STRUCTURE BUILT","Universe:  Housing Units","Housing","Built2000to2009","Built 2000 to 2009|YEAR STRUCTURE BUILT"
"B25034.004.m","B25034",4,"B25034.004.m","MOE for Built 2000 to 2009","YEAR STRUCTURE BUILT","Universe:  Housing Units","Housing","MOE for Built2000to2009","MOE for Built 2000 to 2009|YEAR STRUCTURE BUILT"
"B25034.005","B25034",5,"B25034.005","Built 1990 to 1999","YEAR STRUCTURE BUILT","Universe:  Housing Units","Housing","Built1990to1999","Built 1990 to 1999|YEAR STRUCTURE BUILT"
"B25034.005.m","B25034",5,"B25034.005.m","MOE for Built 1990 to 1999","YEAR STRUCTURE BUILT","Universe:  Housing Units","Housing","MOE for Built1990to1999","MOE for Built 1990 to 1999|YEAR STRUCTURE BUILT"
"B25034.006","B25034",6,"B25034.006","Built 1980 to 1989","YEAR STRUCTURE BUILT","Universe:  Housing Units","Housing","Built1980to1989","Built 1980 to 1989|YEAR STRUCTURE BUILT"
"B25034.006.m","B25034",6,"B25034.006.m","MOE for Built 1980 to 1989","YEAR STRUCTURE BUILT","Universe:  Housing Units","Housing","MOE for Built1980to1989","MOE for Built 1980 to 1989|YEAR STRUCTURE BUILT"
"B25034.007","B25034",7,"B25034.007","Built 1970 to 1979","YEAR STRUCTURE BUILT","Universe:  Housing Units","Housing","Built1970to1979","Built 1970 to 1979|YEAR STRUCTURE BUILT"
"B25034.007.m","B25034",7,"B25034.007.m","MOE for Built 1970 to 1979","YEAR STRUCTURE BUILT","Universe:  Housing Units","Housing","MOE for Built1970to1979","MOE for Built 1970 to 1979|YEAR STRUCTURE BUILT"
"B25034.008","B25034",8,"B25034.008","Built 1960 to 1969","YEAR STRUCTURE BUILT","Universe:  Housing Units","Housing","Built1960to1969","Built 1960 to 1969|YEAR STRUCTURE BUILT"
"B25034.008.m","B25034",8,"B25034.008.m","MOE for Built 1960 to 1969","YEAR STRUCTURE BUILT","Universe:  Housing Units","Housing","MOE for Built1960to1969","MOE for Built 1960 to 1969|YEAR STRUCTURE BUILT"
"B25034.009","B25034",9,"B25034.009","Built 1950 to 1959","YEAR STRUCTURE BUILT","Universe:  Housing Units","Housing","Built1950to1959","Built 1950 to 1959|YEAR STRUCTURE BUILT"
"B25034.009.m","B25034",9,"B25034.009.m","MOE for Built 1950 to 1959","YEAR STRUCTURE BUILT","Universe:  Housing Units","Housing","MOE for Built1950to1959","MOE for Built 1950 to 1959|YEAR STRUCTURE BUILT"
"B25034.010","B25034",10,"B25034.010","Built 1940 to 1949","YEAR STRUCTURE BUILT","Universe:  Housing Units","Housing","Built1940to1949","Built 1940 to 1949|YEAR STRUCTURE BUILT"
"B25034.010.m","B25034",10,"B25034.010.m","MOE for Built 1940 to 1949","YEAR STRUCTURE BUILT","Universe:  Housing Units","Housing","MOE for Built1940to1949","MOE for Built 1940 to 1949|YEAR STRUCTURE BUILT"
"B25034.011","B25034",11,"B25034.011","Built 1939 or earlier","YEAR STRUCTURE BUILT","Universe:  Housing Units","Housing","Built1939orearlier","Built 1939 or earlier|YEAR STRUCTURE BUILT"
"B25034.011.m","B25034",11,"B25034.011.m","MOE for Built 1939 or earlier","YEAR STRUCTURE BUILT","Universe:  Housing Units","Housing","MOE for Built1939orearlier","MOE for Built 1939 or earlier|YEAR STRUCTURE BUILT"
